번호,LMS번호,TLP번호,학년,과정,Self_Efficacy,Math_efficacy,내재조절2,확인조절2,부과조절2,외재조절2,RAI2,숙달접근,수행접근,수행회피,숙달회피,수학흥미,주의집중,능동적학습,총점,수학학습전략,인지전략,메타인지전략,총전략점수,정서불안,인지불안,관계불안,일반불안,총불안,부모관계긍정,부모관계부정,전체관계,학원의존
234,6054,22304,6,1,5.22,5.33,5.29,6,5.67,5.33,-0.24,5.5,5.75,1.2,2,5.67,5.2,4.8,5.22,5.5,4.33,4.2,4.68,5.4,3.6,4.4,3.2,4.15,3.75,2,4.38,3.71
273,6817,9562,5,1,4.67,4.11,3.71,4,3.5,2.33,-3.26,3.67,3.5,2.8,3.2,3.67,4.4,3.4,3.82,4.33,3.5,3.4,3.74,2.8,3.2,2.4,3,2.85,2,3,3,3.14
293,7426,11955,6,1,4.78,3.78,3.71,4.5,2.17,1,-7.76,3.67,2,1.8,1.8,4,3.6,2.4,3.33,3.33,2.17,2.4,2.63,1.8,1,1,1.2,1.25,3.75,1.6,4.58,1.71
616,12608,25151,4,1,4.22,4.89,5.14,5.5,5.33,5.33,0.21,5.17,5,1.8,2.4,3.44,4,3.6,3.68,4.67,3.33,5,4.33,1,3.2,4,1.4,2.4,5,2.4,4.8,2.57
51,3261,3238,5,1,3.89,4.78,4.43,4,2.5,1,-8.36,4.33,1.75,1.6,2.6,3.56,4.4,4.4,4.12,3.83,3.67,3.4,3.63,4.4,4.8,3.4,2.8,3.85,5.75,1.2,5.78,2.14
567,11683,22571,5,1,3.33,3.56,3.86,4.25,4,3.67,-0.63,4,4.25,4.6,3.8,3.78,2.6,2.6,2.99,3.67,3.17,3,3.28,3.2,4.8,4.8,3.6,4.1,4.25,4.2,3.53,3.43
469,10472,19742,6,1,3.11,4.11,4.57,5,4.5,3.33,-2.98,4.5,4.25,3.2,2.2,3.67,4.6,3.2,3.82,3.83,2.67,2,2.83,1.2,2.8,3.4,2.8,2.55,3.5,3.2,3.65,2.71
444,10021,23781,5,1,3.44,2.67,3,2,2,3,0,3.17,2,3.2,3.6,2.33,3.4,2.2,2.64,2.67,2.5,2.4,2.52,3.6,4,3.4,4,3.75,3.25,3.4,3.43,2.43
476,10482,19795,5,1,5.33,5.33,5.14,4,1.83,1,-10.45,5,1,1.6,2.2,1.78,4,4.8,3.53,5,5,4.4,4.8,1,1,1,1,1,5.5,1,5.75,3.86
555,11359,21439,4,1,4.11,3.89,4.14,4,2.33,1.67,-6.62,4.17,1.75,3,3,3.44,3.6,4,3.68,4,3.67,3.6,3.76,1.6,4,2.6,2.4,2.65,3.5,3,3.75,1.71
292,7425,11978,6,1,4,3.78,4.14,3.75,1.67,2.67,-5.04,4.17,1,3.2,3.2,4,4.2,3.4,3.87,3.33,3.5,3,3.28,2,3,1.2,2,2.05,4,1.8,4.6,3
480,10489,19740,4,1,4.67,4.44,5.29,5.75,4.83,2.33,-6.82,5.17,4.75,2.4,1.4,3,4,4.2,3.73,3.33,4.67,3.6,3.87,1.2,4.6,5.4,3.2,3.6,4.25,3.8,3.73,4.29
